subregion,country,region,period.num,period,industry,site.id,site,unit,site.unit,BP.cal.median,lithics.total,debris,cores,retouched,retouch.freq,backed,backed.freq,bonetools,bonetool.freq,portability,NISP,large.herbivore,small.herbivore,carnivore,lg.herbivore.index,elevation,distcoast.modern,distcoast.contemp,longitude,latitude,macro.retouch.freq
N Central,Spain,NE Spain,2,Late Pleniglacial,Magdalenian,62,Parco,levels XV-II,Parco levels XV-II,15800,12547,NA,NA,1127,0.090,500,0.040,39,0.003,0.478,NA,NA,NA,NA,NA,417,80.55,88.60,1.2318,41.8720,0.050
Southwest,Spain,S&E Spain,2,Late Pleniglacial,Magdalenian/Badegoulian,78,Parpalló,2.5-3.5,Parpallo 2.5-3.5,NA,45585,NA,NA,2279,0.050,75,0.002,1735,0.038,0.794,1732,1730,NA,2,NA,418,8.18,26.56,-0.2713,39.0041,0.048
Southwest,Spain,S&E Spain,1,LGM,Solutrean Upper-3,78,Parpallo,3.5-4.0,Parpallo 3.5-4.0,21748,24356,NA,NA,1636,0.067,215,0.009,251,0.010,0.285,868,868,NA,0,NA,418,8.18,29.67,-0.2713,39.0041,0.058
Southwest,Spain,S&E Spain,1,LGM,Solutrean Upper-2,78,Parpallo,4.0-4.5,Parpallo 4.0-4.5,21584,14812,NA,NA,1874,0.127,760,0.051,142,0.010,0.481,868,868,NA,0,NA,418,8.18,29.67,-0.2713,39.0041,0.075
Southwest,Spain,S&E Spain,1,LGM,Solutrean-Upper-1,78,Parpallo,4.5-5.25,Parpallo 4.5-5.25,21748,17959,NA,NA,2178,0.121,606,0.034,80,0.004,0.315,591,591,NA,0,NA,418,8.18,29.67,-0.2713,39.0041,0.088
Southwest,Spain,S&E Spain,1,LGM,Solutrean-middle,78,Parpallo,5.25-6.25,Parpallo 5.25-6.25,NA,5588,NA,NA,1073,0.192,117,0.021,79,0.014,0.183,199,198,NA,1,NA,418,8.18,29.67,-0.2713,39.0041,0.171
Southwest,Spain,S&E Spain,1,LGM,Solutrean-early,78,Parpallo,6.25-7.25,Parpallo 6.25-7.25,24875,917,NA,NA,184,0.201,19,0.021,28,0.031,0.255,3557,3554,NA,3,NA,418,8.18,29.67,-0.2713,39.0041,0.180
Southwest,Spain,S&E Spain,2,Late Pleniglacial,Upper Magdalenian,78,Parpallo,TALUT ± 1.5-0.00,Parpallo TALUT ± 1.5-0.00,16624,60000,NA,NA,3403,0.057,1039,0.017,1276,0.021,0.680,1729,1727,NA,2,NA,418,8.18,26.56,-0.2713,39.0041,0.039
Northeast,Italy,N Italy,4,Holocene,Recent Mesolithic (Castelnoviano),95,Passo dell'Ospedalaccio,,Passo dell'Ospedalaccio,NA,59,53,1,5,0.085,NA,NA,NA,0.000,NA,NA,NA,NA,NA,NA,1271,32.57,33.56,10.2039,44.3091,NA
Northeast,Italy,N Italy,4,Holocene,Recent Mesolithic (Castelnoviano),96,Passo della Comunella,,Passo della Comunella,NA,812,522,26,79,0.097,14,NA,NA,0.000,NA,NA,NA,NA,NA,NA,1617,34.10,35.98,10.3128,44.2805,NA
